stationId,stationName,latitude,longitude,building_count_1km,building_area_1km,building_count_3km,building_area_3km
31616865099255512061948816121,Đà Nẵng: Phạm Hùng (KK),15.9961,108.207,10070,731720.7,69361,4659815.6
30991938797551443885460120607,"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",9.61358,105.968,8509,648582.5,50762,4070722.4
30668578626453200136007481288,"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)",10.2513,105.947,5025,460338.2,51024,4265020.6
28602837126985114455002404577,Quảng Ninh: UBND TP Uông Bí (KK),21.0358,106.764,11091,812310.2,37740,2763206.9
29996225242094208443243751425,Tây Ninh: Phường 3 - TP. Tây Ninh (KK),11.3277,106.104,4700,451308.1,61261,5416418.9
29936546593921360616662752773,Hưng Yên: Trạm khí xung quanh KCN Thăng long II (KK),20.6617,106.059,7239,597334.5,42353,2961678.5
29541549672804486395063249961,Gia Lai: UBND thị xã An Khê (KK),13.9539,108.656,9268,769798.0,32518,2584832.8
29518885338952740244749551027,Quảng Ninh: Nhuệ Hổ - Đông Triều (KK),21.07,106.556,2815,274278.1,25781,1974921.7
29518872592252585279589451187,Quảng Ninh: Km11 - Minh Thành (KK),21.0062,106.859,4458,319533.4,12238,1082759.0
29518862280522648049760863667,Quảng Ninh: UBND huyện Hải Hà (KK),21.4528,107.76,3939,323207.5,12001,911545.4
29518852005686198968139908531,Quảng Ninh: Gần KCN Cái Lân (KK),20.9725,107.044,2161,306724.6,23554,2486442.2
29518839738601389925132404147,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",21.0093,107.274,19432,1130495.2,56913,3580331.0
29196021237696127337075448678,Bắc Ninh: UBND xã Cao Đức - Gia Bình (KK),21.0832,106.281,2112,151503.4,16908,1181701.2
29196010501691076420299004774,Bắc Ninh: TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),21.1873,106.074,7384,726050.4,54599,4353899.8
28916774462801800655608897080,Bắc Ninh: UBND xã Xuân Lâm - Thuận Thành (KK),21.0243,106.017,4042,415746.9,34963,2648682.3
30018605256279546654144260098,Lào Cai: KCN Tằng Loỏng - trạm số 2 (KK),22.2955,104.134,526,123743.8,2988,673296.7
28916766954976962647717994040,"Bắc Ninh: UBND huyện Quế Võ, TT Phố Mới (KK)",21.1518,106.152,4967,547528.3,25222,3222557.8
28916576381663936943098322488,Bắc Ninh: KCN Yên Phong (gần trạm cấp nước sạch) (KK),21.1968,105.993,4118,803644.6,23972,3096185.4
28916745851901742294496599608,Bắc Ninh: KCN Tiên Sơn (Trạm cấp nước sạch KCN) - Từ Sơn (KK),21.1194,105.99,3908,1173260.2,46525,6041039.1
28602897318711027016899843809,Quảng Ninh: Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),20.9454,107.131,7421,503537.5,33315,2215103.8
28602553176253587650986727137,Quảng Ninh: UBND phường Mạo Khê - Đông Triều (KK),21.0585,106.598,12946,866784.3,52710,3678964.5
28601787986862666164115166945,Quảng Ninh: Văn phòng C.ty than Khe Chàm - Tp Cẩm Phả (KK),21.0652,107.326,5327,318501.7,11507,925951.5
28601309072493024807602706145,Quảng Ninh: phường Cao Xanh  - Hạ Long (KK),20.9797,107.087,5704,421173.4,45669,2875298.1
32496602817040565458030689725,"Hà Nội: 79 Văn Tiến Dũng, Tây Tựu (LCS)",21.0608,105.749,5509,330744.5,56512,4880226.3
32496693563219291690449469264,Hải Phòng: Trụ sở ủy ban xã Phạm Sư Mạnh cũ (LCS),21.0272,106.509,3409,211957.6,25268,1725359.2
32497734637638860594066758096,Thái Nguyên: Trung Tâm Hành Chính Công Xã Đồng Hỷ (LCS),21.5761,106.503,1847,148198.8,6162,465341.8
32497836911670612380284465171,Thái Nguyên: UBND Xã Quang Sơn (LCS),21.6959,105.864,676,62030.9,5676,493596.4
32497696449863912939996438674,"Hà Nội: 79 Văn Tiến Dũng, Tây Tựu 2 (LCS)",21.0608,105.749,5509,330744.5,56512,4880226.3
32496627929703877431864819302,Hà Nội: UBND xã Ngọc Liệp (LCS),20.9968,105.596,2499,199215.8,27730,1962022.1
32496584622031367061634346762,Hưng Yên: Cổng bảo vệ  ủy ban xã Như Quỳnh (LCS),20.9769,105.994,5655,652600.5,53239,5438880.6
32496597338357575566293859742,"Hà Nội:TT Quan trắc môi trường miền Bắc, 556 Nguyễn Văn Cừ (LCS)",21.0487,105.882,10878,888656.7,73704,5552577.6
32496608539373531178394552735,"Hà Nội: Tổng cục Biển và Hải đảo, Bộ Tài nguyên và Môi trường - 83 Nguyễn Chí Thanh(LCS)",21.0224,105.81,15636,1165088.3,152014,10106022.1
32496614298366895058622457929,Hà Nội: Công an xã Hoài Đức (LCS),21.0683,105.708,9217,705170.6,58770,4380211.8
