Timestamp,Name,Id,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed,Wind Direction,Weather_Source
31/01/2026 06:00,Khánh Hòa: P. Vĩnh Hòa - Nha Trang (KK),28505263793630246854465636760,12.284358,109.192524,78,78.10384975585937,52.47142446289063,,,6.95659375,,25.16,71,1019,1.19,335.0,OpenWeather_Live
31/01/2026 09:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),28505268571336961948594948504,21.33847,105.3673,83,82.85425209960938,52.96959558105468,5.346935,1.7205,17.6328125,2.436,19.83,80,1022,3.49,124.0,OpenWeather_Live
31/01/2026 07:00,Thừa Thiên Huế: 83 đường Hùng Vương (KK),28505511563898617211441001382,16.46226,107.596351,47,30.02031074336741,20.28402256274086,10.6477275,,5.933125,46.5818,22.06,83,1021,1.54,240.0,OpenWeather_Live
31/01/2026 09:00,"Trà Vinh: xã Dân Thành, TX Duyên Hải (KK)",29098314940209976158571475636,9.599143,106.51985,14,14.30337411839782,7.490237446791569,,,,,25.41,75,1016,8.46,81.0,OpenWeather_Live
31/01/2026 08:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),29195707587706641566224751462,21.593151,105.8431043,155,155.4580517578125,80.40745075776877,7.7265815,,,1.03716,18.2,82,1023,4.04,55.0,OpenWeather_Live
31/01/2026 09:00,Quảng Bình: Khu kinh tế Hòn La (KK),29213751141295132066317063859,17.932938,106.49662,9,8.369556249999999,8.621920068359374,14.1526275,,2.21590625,5.7342,20.94,81,1021,2.39,336.0,OpenWeather_Live
31/01/2026 08:00,Tây Ninh: Thị xã Trảng Bàng (KK),29996239538320865599553202177,11.030287,106.35631,92,76.71289956054687,92.3936149169922,,,,,25.94,67,1016,1.89,36.0,OpenWeather_Live
31/01/2026 08:00,Trà Vinh: Tp. Trà Vinh (KK),30921862678974937849512304668,9.923886,106.339604,14,7.989049100283514,6.6105970575095405,13.706671,2.8896,10.79790625,4.20232,26.58,66,1016,4.92,91.0,OpenWeather_Live
31/01/2026 09:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),31387251434693138681789561386,21.301503,106.22603,88,87.55954263185681,53.62448474744087,,,,,18.91,77,1023,5.65,31.0,OpenWeather_Live
31/01/2026 09:00,Bình Định: Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),31388836637198369136462150188,13.7851,109.2198,109,109.29573368326822,67.44507836914062,7.978754,24.2732,20.75,1.26832,21.98,83,1020,3.04,333.0,OpenWeather_Live
31/01/2026 09:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",31388839920718814259329251882,10.9923,106.6577,66,48.22545239257813,66.3653140991211,15.0055875,19.9125,,0.942,25.92,69,1016,2.57,70.0,OpenWeather_Live
31/01/2026 09:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),31388851800421997746903202346,16.0622,108.1594,45,44.909858984375006,36.971028540039065,,18.87085,8.303125,2.185,22.99,78,1020,1.03,0.0,OpenWeather_Live
31/01/2026 08:00,Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),31388868531618872623864101418,20.9381,106.3357,126,126.48670330854463,73.7562263219782,,19.42335,,4.48668,21.0,73,1022,1.28,55.0,OpenWeather_Live
31/01/2026 09:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),31388883344354363840031242796,20.536,105.9165,70,70.36664882849358,,19.691125,27.92085,10.8143125,4.488320000000001,21.77,69,1022,2.49,89.0,OpenWeather_Live
31/01/2026 09:00,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),31390912357075263208060500522,10.7823,106.6834,38,38.084993359375,37.92196677246093,,,,,26.7,74,1016,2.57,70.0,OpenWeather_Live
31/01/2026 09:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),31390916083317566102523755051,10.7832,106.7528,51,41.01811865234375,51.06600597480313,,8.1679,,1.75232,26.73,74,1016,2.57,70.0,OpenWeather_Live
