station_name,station_id,tier,n_rows,data_months,pm25_coverage,pm25_mean,zero_pct,lcs_flag,reason,colocated_kk,data_start,data_end
Hải Phòng Ban chỉ huy quân sự xã An Quang (LCS),32497740397859994680382176275,2,3983,5.6,1.0,27.53,0.0,pass,,,2025-10-29 10:00:00,2026-04-16 20:00:00
Hải Phòng Cổng bảo vệ trường mầm non Tam Hưng- phường Nam Triệu (LCS),32496674426906599552653261962,2,4004,5.6,1.0,26.69,0.001,pass,,Quảng Ninh Km11 - Minh Thành (; Quảng Ninh UBND TP Uông Bí (KK,2025-10-28 13:00:00,2026-04-16 20:00:00
"Hải Phòng Cổng bảo vệ trường tiểu học Tử Lạc, phường Nhị Chiểu (LCS)",32497713513553527537986241519,2,3985,5.6,1.0,20.44,0.003,pass,,Quảng Ninh Nhuệ Hổ - Đông Triề,2025-10-29 10:00:00,2026-04-16 20:00:00
Hải Phòng Cổng bảo vệ trường tiểu học phả lại phường Chí Linh (LCS),32497722117136617634216524795,2,3978,5.6,1.0,40.94,0.0003,pass,,Bắc Ninh UBND xã Cao Đức - Gia,2025-10-29 10:00:00,2026-04-16 20:00:00
"Hải Phòng Cổng bảo vệ, ủy ban xã Nguyễn Lương Bằng (LCS)",32497715505350541081963258104,2,3971,5.6,1.0,40.95,0.0,pass,,,2025-10-29 10:00:00,2026-04-16 20:00:00
Hải Phòng Phòng bảo vệ trường mầm non Gia Đức- phường Bạch Đằng (LCS),32497682375609562779368280919,4,449,0.6,1.0,18.28,0.0045,fail,months=0.6,Quảng Ninh Km11 - Minh Thành (; Quảng Ninh UBND TP Uông Bí (KK,2025-10-28 16:00:00,2025-11-17 10:00:00
Hải Phòng Phòng kinh tế môi trường - Ủy ban phường Bạch Đằng (LCS),32496670530460480527200245359,3,2695,3.7,1.0,31.65,0.0011,fail,months=3.7,Quảng Ninh Km11 - Minh Thành (; Quảng Ninh UBND TP Uông Bí (KK,2025-10-28 13:00:00,2026-02-19 09:00:00
"Hải Phòng Trạm thủy văn Do Nghi, phường Nam Triệu (LCS)",32496634971884394546566271369,2,4006,5.6,1.0,28.64,0.0,pass,,Quảng Ninh Km11 - Minh Thành (; Quảng Ninh UBND TP Uông Bí (KK,2025-10-28 13:00:00,2026-04-16 20:00:00
Hải Phòng Trụ sở ủy ban xã Phạm Sư Mạnh cũ (LCS),32496693563219291690449469264,2,4008,5.6,1.0,32.68,0.0002,pass,,Quảng Ninh Nhuệ Hổ - Đông Triề,2025-10-28 13:00:00,2026-04-16 07:00:00
Hải Phòng Vọng gác công an phường Bạch Đằng (LCS),32497743881131035780167864566,2,3803,5.3,1.0,26.85,0.0,pass,,Quảng Ninh UBND TP Uông Bí (KK,2025-10-29 10:00:00,2026-04-09 05:00:00
Hải Phòng cột điện Phường Bạch Đằng (anh Vân - 098 9325417) (LCS),32497745839288232378111853921,2,4003,5.6,0.994,9.18,0.0138,pass,,Quảng Ninh Km11 - Minh Thành (; Quảng Ninh UBND TP Uông Bí (KK,2025-10-29 10:00:00,2026-04-16 20:00:00
Hải Phòng ủy ban phường Phạm Sư Mạnh (LCS),32496700750804852782040219324,2,4003,5.6,1.0,17.52,0.0005,pass,,Quảng Ninh Nhuệ Hổ - Đông Triề,2025-10-28 13:00:00,2026-04-16 20:00:00
"Lạng Sơn Cột điện đối diện nhà văn hóa khu Pha Lác, xã Chi Lăng (LCS)",32496621120052989448308754893,2,3985,5.6,0.9887,39.05,0.002,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
"Lạng Sơn Tường phía sau lưng nhà văn hóa khu Trung Thịnh, xã Chi Lăng (LCS)",32497816774243732691318562431,2,3998,5.6,0.99,42.36,0.001,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
"Ninh Bình Cổng bảo vệ trạm bơm Hoành Uyển, phường Hà Nam (LCS)",32497825983352144945122444532,2,4022,5.6,1.0,35.38,0.0,pass,,,2025-10-28 13:00:00,2026-04-16 20:00:00
Ninh Bình Trung tâm Hành chính công Phường Đồng Văn (LCS),32497834813217474579076019998,2,4026,5.6,1.0,40.46,0.0,pass,,Hà Nam Công Viên Nam Cao - P.Q,2025-10-28 13:00:00,2026-04-16 20:00:00
Ninh Bình UBND Phường Hà Nam (LCS),32497829304160538258698536470,3,1080,1.5,1.0,45.09,0.0,fail,months=1.5,Hà Nam Công Viên Nam Cao - P.Q,2025-10-28 13:00:00,2025-12-12 22:00:00
Ninh Bình Đảng ủy - HĐND phường Hà Nam (LCS),32497832479169427549528529636,2,4038,5.6,1.0,41.8,0.0002,pass,,Hà Nam Công Viên Nam Cao - P.Q,2025-10-28 13:00:00,2026-04-16 20:00:00
Thái Nguyên Trung Tâm Hành Chính Công Xã Đồng Hỷ (LCS),32497734637638860594066758096,3,2055,2.9,1.0,22.8,0.0005,fail,months=2.9,,2026-01-19 00:00:00,2026-04-16 20:00:00
"Thái Nguyên Trạm quan trắc nước tại đập Ba Đa, phường Cam Giá (LCS)",32497839438874550478493036568,2,3981,5.6,1.0,55.04,0.0063,pass,,Thái Nguyên Sân vận động Gang ,2025-10-28 13:00:00,2026-04-16 20:00:00
Thái Nguyên UBND Phường Gia Sàng (LCS),32497845274199713703151904970,2,3989,5.6,1.0,60.13,0.0,pass,,Thái Nguyên Sân vận động Gang ,2025-10-28 13:00:00,2026-04-16 20:00:00
Thái Nguyên UBND Xã Quang Sơn (LCS),32497836911670612380284465171,4,399,0.5,1.0,0.53,0.5388,fail,months=0.5; zero=53.9%; mean=0.5,,2026-01-19 00:00:00,2026-02-04 14:00:00
