stationId,station_name,lat,lon,region,station_type,tier,data_start,data_end,total_months,pm25_coverage,has_envisoft_temp,has_envisoft_humidity,has_envisoft_wind,quality_flag,fail_reason
29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),21.07,106.556,North,KK,3,2023-01-01 01:00:00,2026-04-16 20:00:00,39.5,0.5243,True,True,True,pass,
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),20.9454,107.131,North,KK,3,2023-01-01 01:00:00,2026-04-16 20:00:00,39.5,0.6205,True,True,True,pass,
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),21.0065,107.344,North,KK,3,2025-03-25 16:00:00,2026-04-16 20:00:00,12.7,0.9709,False,False,False,pass,
29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",21.0093,107.274,North,KK,3,2023-01-01 01:00:00,2026-04-16 20:00:00,39.5,0.5997,True,True,True,pass,
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),21.0358,106.764,North,KK,3,2023-01-01 01:00:00,2026-04-16 20:00:00,39.5,0.5734,True,True,True,pass,
30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",9.61358,105.968,South,KK,3,2023-03-28 15:00:00,2026-01-09 03:00:00,33.4,0.5165,True,True,True,pass,
31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),20.4578,106.344,North,KK,1,2023-12-04 00:00:00,2026-04-16 20:00:00,28.4,0.9474,True,True,True,pass,
29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",20.4616,106.517,North,KK,3,2023-01-01 01:00:00,2026-01-01 21:00:00,36.0,0.8013,False,False,False,pass,
31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),21.5391,105.872,North,KK,2,2024-05-16 00:00:00,2026-04-16 20:00:00,23.0,0.8881,True,True,False,pass,
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",9.59914,106.52,South,KK,2,2023-01-06 00:00:00,2026-04-16 20:00:00,39.3,0.9699,True,True,True,pass,
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",9.57555,106.488,South,KK,3,2023-01-02 08:00:00,2025-12-10 15:00:00,35.2,0.6405,True,True,True,pass,
29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),11.0303,106.356,South,KK,2,2023-01-03 00:00:00,2026-04-16 20:00:00,39.4,0.7302,True,True,False,pass,
31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,10.4955,107.274,South,Other,3,2023-12-04 00:00:00,2026-04-16 20:00:00,28.4,0.9717,True,True,True,pass,
31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),15.9961,108.207,Central,KK,3,2024-04-23 18:00:00,2026-04-16 19:00:00,23.8,0.764,False,False,True,pass,
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),16.074,108.217,Central,KK,1,2023-01-01 01:00:00,2026-04-16 20:00:00,39.5,0.7676,True,True,True,pass,
31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.159,Central,KK,1,2023-12-03 00:00:00,2026-04-16 20:00:00,28.4,0.9595,True,True,True,pass,
