feature,gain,rank
PM25_nn_idw,776470.625,1
PM25_nn_mean,506804.6875,2
ACAG_annual_mean,283563.5625,3
building_area_3km,252766.484375,4
longitude,118329.0078125,5
slope_deg,111108.6484375,6
building_count_3km,56607.6796875,7
elevation_m,53491.98828125,8
aspect_sin,50957.97265625,9
aspect_cos,50608.40234375,10
dist_nn4,45809.42578125,11
dist_nn5,43807.41015625,12
building_count_1km,41703.265625,13
dist_nn3,39634.18359375,14
month_cos,39311.75390625,15
building_area_1km,37495.1328125,16
latitude,36944.5625,17
PM25_nn1,36601.09765625,18
day_of_year_cos,32593.705078125,19
dist_nn1,31808.4765625,20
ACAG_monthly,28956.130859375,21
AOT_inner_mean,26938.1875,22
dist_nn2,25912.396484375,23
month_sin,23513.720703125,24
wind_dir_sin_local,23381.263671875,25
PM25_nn2,22658.13671875,26
AOT_mean,20930.955078125,27
dRH_6h,18301.6796875,28
AOT_outer_mean,17369.064453125,29
rain_days_7d,16272.908203125,30
AOT_valid_count,15619.6337890625,31
WS_local,15563.0966796875,32
wind_u_local,15391.119140625,33
RH_factor,15349.3037109375,34
day_of_year_sin,15304.4169921875,35
PM25_nn3,15150.5478515625,36
elev_x_PBLH,15091.1669921875,37
PM25_nn4,14879.5625,38
hours_since_valid_AOT,14809.689453125,39
Temperature_final,13933.146484375,40
VC,13649.4580078125,41
PBLH,13236.9013671875,42
hour_sin,12967.7431640625,43
AOT_grad_ns,12926.7548828125,44
AE,12817.35546875,45
rain_sum_48h,12665.3564453125,46
Pressure_final,12451.02734375,47
hrs_since_rain,11883.5322265625,48
consecutive_dry_days,11559.439453125,49
Humidity_final,11178.2333984375,50
PM25_nn5,11050.673828125,51
AOT_rolling_mean_24h,10871.6875,52
rain_sum_24h,10619.537109375,53
elev_x_hour_sin,10292.2646484375,54
wind_dir_cos_local,10022.4150390625,55
AOT_ffill_48h,9819.8681640625,56
hour_cos,9794.248046875,57
wind_v_local,9658.244140625,58
SSA,9628.765625,59
wind_dir_cos,9599.16796875,60
precip_mm,9406.3203125,61
dT_6h,9317.5751953125,62
AOT_grad_ew,8527.16015625,63
wind_v,8522.7578125,64
wind_u,7856.115234375,65
wind_dir_sin,7654.8876953125,66
AOT_grad_mag,7372.21044921875,67
AOT_grad_dir,7172.72802734375,68
dWS_6h,7054.74462890625,69
AOT_lag_6h,6967.37451171875,70
AOT_spatial_std,6961.99169921875,71
RF,6796.7177734375,72
AOD_physics,6794.61865234375,73
AOT_rolling_mean_6h,6697.44140625,74
dP_6h,6525.34326171875,75
AOT_local_vs_regional,6010.24853515625,76
AOT_lag_3h,5167.84814453125,77
AOT_lag_1h,4795.4208984375,78
Uncertainty,3840.16259765625,79
AOT,3837.121826171875,80
