feature,gain,rank
PM25_nn_idw,804151.875,1
PM25_nn_mean,504429.625,2
building_area_3km,238116.3125,3
longitude,183220.0,4
slope_deg,119685.2578125,5
building_count_3km,59114.484375,6
aspect_sin,52549.1640625,7
dist_nn4,49807.51171875,8
aspect_cos,49742.53125,9
elevation_m,49283.77734375,10
dist_nn5,43760.1640625,11
dist_nn3,42352.83984375,12
month_cos,42163.54296875,13
PM25_nn1,40112.828125,14
building_area_1km,37215.1328125,15
AOT_inner_mean,36589.015625,16
latitude,35123.32421875,17
day_of_year_cos,34532.78515625,18
dist_nn1,30158.44140625,19
building_count_1km,29270.05078125,20
dist_nn2,26823.9296875,21
PM25_nn2,24036.84765625,22
month_sin,24019.728515625,23
wind_dir_sin_local,21634.529296875,24
AOT_outer_mean,19585.51953125,25
AOT_mean,19418.591796875,26
rain_days_7d,18487.3046875,27
dRH_6h,18331.923828125,28
WS_local,16323.4423828125,29
day_of_year_sin,16187.583984375,30
AOT_valid_count,15726.7275390625,31
PM25_nn4,15267.3798828125,32
PM25_nn3,15241.306640625,33
Temperature_final,15073.826171875,34
RH_factor,14954.65234375,35
elev_x_PBLH,14949.369140625,36
PBLH,14721.142578125,37
wind_u_local,13985.1318359375,38
hour_sin,13558.6162109375,39
rain_sum_48h,13365.0771484375,40
wind_dir_cos_local,13078.458984375,41
Pressure_final,12850.16015625,42
VC,12756.90234375,43
PM25_nn5,12088.5673828125,44
Humidity_final,12015.826171875,45
hours_since_valid_AOT,11688.8447265625,46
AOT_rolling_mean_24h,11600.7939453125,47
dT_6h,11309.822265625,48
hrs_since_rain,11304.611328125,49
rain_sum_24h,11290.67578125,50
AOT_ffill_48h,10848.7294921875,51
AE,10806.2548828125,52
consecutive_dry_days,10744.9462890625,53
AOT_grad_mag,10569.529296875,54
AOT_grad_ns,10269.1572265625,55
wind_v_local,10187.4482421875,56
precip_mm,10089.8388671875,57
wind_dir_cos,9977.763671875,58
elev_x_hour_sin,9943.0556640625,59
hour_cos,9598.6474609375,60
wind_v,9085.3984375,61
SSA,9017.5830078125,62
wind_u,8075.984375,63
wind_dir_sin,7912.02490234375,64
dWS_6h,7748.0615234375,65
AOT_spatial_std,7167.52587890625,66
AOT_lag_6h,7095.09130859375,67
AOT_rolling_mean_6h,6746.654296875,68
dP_6h,6595.6953125,69
AOT_grad_dir,6476.17431640625,70
RF,6193.6552734375,71
AOT_lag_1h,5529.22265625,72
AOT_local_vs_regional,5330.3076171875,73
AOT_grad_ew,5248.697265625,74
AOT_lag_3h,5221.20166015625,75
AOD_physics,5206.40087890625,76
AOT,5050.62890625,77
Uncertainty,4475.09033203125,78
