feature,gain,rank
PM25_nn_idw,58870.7265625,1
PM25_nn_mean,35297.5859375,2
slope_deg,11496.1494140625,3
dist_nn4,7622.505859375,4
longitude,6931.3447265625,5
aspect_cos,4232.7705078125,6
elevation_m,4063.064453125,7
aspect_sin,3456.699951171875,8
month_cos,3237.89501953125,9
dist_nn5,3213.123046875,10
latitude,2925.730224609375,11
PM25_nn1,2525.248779296875,12
PM25_nn2,2472.913330078125,13
dist_nn3,2121.51806640625,14
dist_nn1,1999.8260498046875,15
day_of_year_cos,1991.434814453125,16
month_sin,1873.5914306640625,17
wind_dir_cos_local,1826.51953125,18
dist_nn2,1711.8536376953125,19
WS_local,1542.1490478515625,20
PM25_nn4,1461.0421142578125,21
AE,1418.2396240234375,22
AOT_inner_mean,1342.2471923828125,23
AOT_outer_mean,1332.2880859375,24
SSA,1270.39013671875,25
wind_dir_sin_local,1246.9703369140625,26
elev_x_PBLH,1229.5816650390625,27
hrs_since_rain,1113.5972900390625,28
wind_v_local,1097.41552734375,29
AOT_mean,1053.7127685546875,30
Humidity_final,1044.6944580078125,31
PM25_nn3,1036.9815673828125,32
Pressure_final,1032.29931640625,33
PM25_nn5,1018.7407836914062,34
consecutive_dry_days,1003.6688842773438,35
VC,982.6649780273438,36
day_of_year_sin,978.8736572265625,37
wind_u_local,915.5244750976562,38
wind_u,886.0062255859375,39
Temperature_final,882.43603515625,40
RH_factor,881.1412963867188,41
AOT_valid_count,867.8836059570312,42
hours_since_valid_AOT,814.143310546875,43
PBLH,786.4159545898438,44
wind_v,753.0079956054688,45
wind_dir_cos,732.1652221679688,46
rain_days_7d,730.792236328125,47
AOT_ffill_48h,727.846923828125,48
AOT_rolling_mean_6h,725.5328979492188,49
wind_dir_sin,705.635986328125,50
rain_sum_48h,690.8948974609375,51
AOD_physics,673.90673828125,52
AOT_lag_1h,671.2672729492188,53
AOT_rolling_mean_24h,655.2218017578125,54
AOT_spatial_std,652.76025390625,55
Uncertainty,652.5817260742188,56
AOT,620.3833618164062,57
dP_6h,615.9929809570312,58
RF,606.3472900390625,59
AOT_grad_ns,594.6708374023438,60
dRH_6h,535.8311157226562,61
dWS_6h,490.2287902832031,62
dT_6h,464.5465393066406,63
rain_sum_24h,456.1089172363281,64
AOT_lag_3h,440.9426574707031,65
AOT_grad_mag,431.77008056640625,66
AOT_local_vs_regional,428.31878662109375,67
AOT_grad_dir,405.2589111328125,68
AOT_grad_ew,396.3748779296875,69
AOT_lag_6h,390.45611572265625,70
precip_mm,286.7237854003906,71
