feature,gain,rank
PM25_nn_idw,792609.6875,1
PM25_nn_mean,539206.6875,2
slope_deg,137732.34375,3
longitude,132754.984375,4
dist_nn4,66264.828125,5
aspect_cos,61021.94140625,6
AOT_inner_mean,59117.95703125,7
aspect_sin,58604.33984375,8
latitude,56524.95703125,9
elevation_m,45805.07421875,10
dist_nn5,44746.375,11
month_cos,40968.01953125,12
PM25_nn1,39071.6328125,13
day_of_year_cos,35977.1953125,14
dist_nn2,34964.83984375,15
dist_nn1,34304.28515625,16
AOT_outer_mean,31643.912109375,17
dist_nn3,25603.51171875,18
wind_dir_sin_local,25128.01953125,19
AOT_mean,24795.59375,20
month_sin,24749.869140625,21
PM25_nn2,23227.455078125,22
wind_u_local,18317.587890625,23
AOT_valid_count,17574.255859375,24
WS_local,16858.302734375,25
dRH_6h,16706.365234375,26
day_of_year_sin,16120.001953125,27
RH_factor,15879.3271484375,28
hours_since_valid_AOT,15735.720703125,29
PM25_nn4,15391.0419921875,30
Pressure_final,15199.0380859375,31
consecutive_dry_days,14212.1650390625,32
Temperature_final,14180.1708984375,33
VC,14000.212890625,34
rain_days_7d,13840.8203125,35
rain_sum_48h,13615.236328125,36
AE,13415.80078125,37
PBLH,12912.7392578125,38
PM25_nn5,12519.83203125,39
hour_sin,12402.1220703125,40
AOT_grad_ns,12320.08203125,41
PM25_nn3,12157.5078125,42
AOT_rolling_mean_24h,11647.626953125,43
hrs_since_rain,11444.875,44
Humidity_final,10666.7568359375,45
dT_6h,10625.5693359375,46
elev_x_PBLH,10439.5029296875,47
AOT_ffill_48h,10407.1640625,48
AOT_grad_mag,10320.7109375,49
elev_x_hour_sin,10088.404296875,50
rain_sum_24h,9598.12109375,51
AOT_spatial_std,9476.30859375,52
wind_dir_cos_local,9038.630859375,53
hour_cos,9023.2578125,54
wind_dir_cos,9008.7197265625,55
precip_mm,8747.701171875,56
wind_u,8261.138671875,57
wind_v_local,8215.96875,58
wind_v,8136.50341796875,59
AOT_local_vs_regional,7550.80224609375,60
AOT_lag_6h,7442.3720703125,61
wind_dir_sin,7331.2021484375,62
AOD_physics,7172.609375,63
dP_6h,7119.71533203125,64
SSA,7085.91357421875,65
dWS_6h,7046.62060546875,66
RF,6433.58837890625,67
AOT_rolling_mean_6h,6266.85546875,68
AOT_grad_dir,5981.0185546875,69
AOT_lag_1h,5569.66455078125,70
AOT_grad_ew,5370.44580078125,71
Uncertainty,5153.81689453125,72
AOT_lag_3h,4065.718017578125,73
AOT,3732.064208984375,74
