config,station_id,station_name,region,n_rows,r2,rmse,mae,baseline_full,baseline_sat,stage1_err_full,stage1_err_sat
V4,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,-1.0676,19.42,14.81,12.22,3.95,0.15,-8.12
V4,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-0.8482,15.94,11.25,18.49,15.35,12.25,9.11
V4,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.0239,44.63,27.47,33.56,33.16,-21.65,-22.05
V5,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.4081,24.93,18.61,37.69,36.42,10.59,9.33
V5,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.4319,22.32,16.33,17.93,17.62,4.74,4.43
V5,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.509,23.41,16.22,46.61,35.85,-1.93,-12.69
V5,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-2.4741,13.97,11.71,19.22,14.56,12.36,7.7
V5,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.1119,9.66,6.39,17.61,26.07,6.97,15.43
V5,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.0864,7.31,5.6,0.37,4.86,-6.25,-1.75
V5,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.276,27.83,21.13,34.36,34.43,6.41,6.48
V5,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0208,45.9,29.03,34.61,32.92,-17.58,-19.27
V5,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.1885,7.0,4.58,0.59,7.7,-8.54,-1.43
V5,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.7973,8.3,6.6,11.29,5.84,5.57,0.12
V5,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.3243,17.61,12.47,34.16,31.71,10.72,8.27
V5,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.1593,17.96,12.84,41.77,29.73,16.37,4.32
V5,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.1647,22.14,14.24,18.71,16.37,3.23,0.89
V5,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,0.2169,6.46,4.93,8.08,13.09,1.12,6.14
V5,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.0809,9.31,4.19,2.19,8.93,-5.43,1.32
V5,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.1376,11.85,7.23,9.89,19.51,0.4,10.02
V5,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.7571,13.8,10.7,23.36,28.05,14.12,18.82
V5,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0651,14.03,9.17,12.75,14.18,1.83,3.26
V5,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.304,10.26,8.25,17.1,24.99,6.18,14.07
V5,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,0.0809,9.73,5.43,2.41,10.18,-4.3,3.47
V5,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.0472,12.38,8.7,13.43,7.61,-5.04,-10.86
V5,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.2619,14.41,9.68,15.66,23.83,-8.56,-0.38
V5,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,0.2688,12.4,8.98,22.56,14.4,-1.04,-9.2
V5,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5204,20.61,12.48,32.5,35.62,-5.13,-2.0
V5,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6828,17.02,10.7,34.19,32.28,-4.99,-6.9
V5,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.7154,19.81,13.19,43.48,37.22,-3.3,-9.55
V5,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.2816,19.9,13.49,41.15,38.87,4.22,1.93
V5,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.5262,8.61,6.27,16.7,24.26,-4.64,2.91
V5,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.4888,9.76,6.59,19.04,24.01,-3.53,1.44
V5,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.7527,18.0,11.82,40.98,35.66,-2.21,-7.53
V5,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.0592,20.06,15.89,22.04,17.07,3.96,-1.01
V5,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.3755,10.36,7.18,20.22,18.96,-0.95,-2.21
V5,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,-0.0603,9.35,7.1,13.58,13.13,-1.91,-2.36
V5,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,0.2703,12.07,8.6,19.36,22.54,-0.5,2.67
V5,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.0693,25.77,15.11,16.72,19.59,-10.69,-7.82
V5,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3879,26.73,16.16,35.42,33.64,-1.76,-3.55
V5,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.1277,8.57,6.27,10.42,14.07,-4.25,-0.6
V5,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.1487,12.46,8.19,12.22,3.95,0.15,-8.12
V5,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.54,18.69,16.4,18.49,15.35,12.25,9.11
V5,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.2123,48.56,31.29,33.56,33.16,-21.65,-22.05
