feature,gain,rank
slope_deg,732333760.0,1
day_of_year_cos,204714480.0,2
elevation_m,113343400.0,3
AOT_outer_mean,96519544.0,4
aspect_sin,91763184.0,5
aspect_cos,64749632.0,6
WS_local,62376620.0,7
Pressure_regional_anom,54726032.0,8
VC,54065152.0,9
day_of_year_sin,52745876.0,10
PBLH_regional_anom,43443908.0,11
month_cos,43067620.0,12
Temperature_regional_anom,38835848.0,13
elev_x_PBLH,36661900.0,14
WS_regional_anom,35551068.0,15
dWS_6h,34575660.0,16
AOT_mean,33329750.0,17
AOT_ffill_48h,33005436.0,18
dRH_6h,31620388.0,19
Humidity_regional_anom,29723002.0,20
hours_since_valid_AOT,28794680.0,21
hrs_since_rain,26303462.0,22
wind_dir_cos_local,25178452.0,23
AOT_rolling_mean_24h,24400756.0,24
elev_x_hour_sin,21933260.0,25
wind_u_local,21677486.0,26
wind_dir_sin_local,21422688.0,27
rain_days_7d,21203112.0,28
rain_sum_48h,20355732.0,29
wind_v,18893140.0,30
month_sin,18569262.0,31
consecutive_dry_days,16213139.0,32
wind_dir_cos,13216662.0,33
dT_6h,13149038.0,34
AOT_valid_count,12427003.0,35
wind_u,10126690.0,36
hour_sin,8836565.0,37
rain_sum_24h,8766532.0,38
dP_6h,7251576.0,39
wind_v_local,7212775.0,40
hour_cos,6903207.0,41
AOT_grad_ns,6148866.5,42
RF,6096704.5,43
AE,4832272.0,44
wind_dir_sin,4825170.0,45
AOT_rolling_mean_6h,4177949.5,46
SSA,3830367.5,47
AOT_inner_mean,3272783.25,48
AOT_spatial_std,3264073.25,49
AOT_lag_6h,1963553.125,50
AOD_physics,1580978.0,51
precip_mm,1477983.75,52
AOT_grad_mag,1455734.125,53
AOT_lag_3h,1420944.0,54
AOT_grad_ew,1311293.75,55
AOT_local_vs_regional,1189740.75,56
AOT_grad_dir,1062150.375,57
Uncertainty,948467.1875,58
AOT_lag_1h,730965.0,59
AOT,259716.046875,60
