config,station_id,station_name,region,n_rows,r2,rmse,mae,acag_annual,acag_vs_actual
A1,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.4991,24.18,15.76,28.7,-8.48
A1,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.0197,8.15,5.95,21.71,7.04
A1,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.0236,13.35,9.01,18.47,6.4
A1,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.3904,18.13,15.57,21.45,15.2
A1,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,0.2897,37.17,24.16,31.52,-23.69
A2,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.8152,28.31,23.81,37.49,10.39
A2,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0009,18.65,9.73,20.19,7.0
A2,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4106,25.65,18.09,37.84,-10.7
A2,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.1916,15.34,10.8,19.93,13.07
A2,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.4899,11.18,8.73,37.03,26.39
A2,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-0.3156,8.77,6.6,20.76,14.15
A2,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-2.8496,48.34,36.5,36.53,8.58
A2,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,0.0762,43.67,27.1,36.53,-15.66
A2,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-1.1584,9.43,7.06,15.17,6.04
A2,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.9283,6.89,5.33,17.54,11.82
A2,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.1749,23.22,18.2,35.48,12.04
A2,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.2245,17.25,12.13,34.21,8.8
A2,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-1.0658,29.48,17.96,24.35,8.87
A2,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,0.1045,6.9,4.63,21.01,14.06
A2,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.3241,10.3,5.63,21.72,14.1
A2,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.2729,10.88,6.73,24.8,15.31
A2,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-1.9521,14.28,10.81,28.52,19.28
A2,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.2015,14.91,9.54,18.77,7.84
A2,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-1.5628,14.38,11.69,24.72,13.8
A2,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,12613,-0.8852,13.93,10.62,21.5,14.79
A2,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,19595,-0.0113,12.16,8.64,18.47,-0.0
A2,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,19488,0.0783,16.11,11.07,28.38,4.16
A2,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,19931,-0.0045,14.53,10.82,22.18,-1.42
A2,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,19834,0.5828,19.23,12.87,33.03,-4.59
A2,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,19743,0.6977,16.62,11.32,31.72,-7.46
A2,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,19837,0.6193,22.91,17.0,37.84,-8.94
A2,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,19443,0.059,22.77,17.78,41.27,4.34
A2,31390912357075263208060500522,HCM Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),South,19860,0.4235,9.5,7.46,34.93,13.59
A2,31390916083317566102523755051,HCM Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),South,19156,0.5809,8.84,6.38,34.69,12.11
A2,31390921469766835629621918251,Hưng Yên số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),North,19022,0.6502,21.4,14.93,32.28,-10.91
A2,31390928700890512538630765099,Lâm Đồng Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Central,18977,0.2304,18.14,11.41,19.79,1.7
A2,31390932574706768021562473002,Long An UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),South,19979,0.1914,11.79,8.11,24.41,3.24
A2,31390939012620449761949792810,Ninh Thuận Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Central,14295,0.0222,8.98,7.02,22.48,6.99
A2,31390944251495766704153049642,Quảng Nam Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Central,19205,-0.5479,17.57,13.34,20.42,0.56
A2,31390951371938979254287350314,Quảng Ngãi UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Central,18801,-0.4505,30.02,19.56,18.25,-9.15
A2,31390957404024291365397346858,Thái Bình Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),North,19607,0.3676,27.17,16.76,28.7,-8.48
A2,31390965631272148257054013994,Vũng Tàu Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,South,20164,-0.4578,9.74,7.5,21.71,7.04
A2,31570631866920915749872483233,Bình Định huyện Tuy Phước (KK),Central,9692,0.1335,12.57,8.38,18.47,6.4
A2,31616865099255512061948816121,Đà Nẵng Phạm Hùng (KK),Unknown,13256,-1.639,19.05,16.37,21.45,15.2
A2,31651502905690497791503780869,Thái Nguyên Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),North,14937,-0.2469,49.25,31.3,31.52,-23.69
