station_id,station_name,region,n_rows,pm25_mean,loso_r2,building_count_3km,building_area_3km,ACAG_annual_mean,mean_AOT,median_AOT,AOT_valid_frac,mean_AOD_physics,mean_AOD_PBLH_ratio,mean_PBLH,mean_WS,mean_VC,mean_Temp,mean_Humidity,mean_Pressure,rain_freq,AOT_std,AOT_iqr,AOT_p95,diurnal_pm25_range,seasonal_pm25_amp,mean_PM25_nn_idw,std_PM25_nn_idw,iqr_PM25_nn_idw,nn1_km,nn1_corr,nbr_seasonal_amp,nbr_diurnal_range,elevation_m,latitude,longitude,slope_deg,mean_AOT_inner_mean,mean_AOT_outer_mean,mean_AOT_spatial_std,mean_AOT_local_vs_regional,mean_AOT_grad_mag,mean_RF_mean,mean_RF_std,mean_RF_center,mean_RF_inner_mean,mean_RF_outer_mean,mean_RF_grad_mag,mean_RF_local_vs_regional,mean_SSA_mean,mean_SSA_std,mean_SSA_center,mean_SSA_inner_mean,mean_SSA_outer_mean,mean_SSA_grad_mag,mean_SSA_local_vs_regional,mean_AOT_fine
28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,27.1,-0.4438,45790,4693527.2,37.49,0.7815,0.6574,0.053,0.000867,0.002105,400.9,8.28,3591.0,25.74,75.52,992.9,0.1346,0.6334,0.8462,1.9861,10.33,32.76,41.64,26.9,28.7,56.8,0.7111,1.9618,38.54,24.5,21.3385,105.367,0.836,0.7741335972107233,0.7801975174715917,0.1775524582198173,0.0209466504421447,0.0722805481127739,0.5255315857830047,0.0554294810266077,0.5533867510181844,0.5327249207247383,0.5269177978133963,0.02154711373074165,-3.9714302173119e-05,1688.066155503532,143.87917198172093,3095.600517206237,1888.3214110690903,1727.0838591391894,39.22866332523326,3.03366681938107,0.41851662284128854
28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,13.19,-0.3612,117427,7068170.2,20.19,0.5784,0.4951,0.0608,0.000757,0.001482,415.7,8.9,4629.0,23.05,70.35,1004.6,0.1278,0.4581,0.6552,1.3659,7.32,17.98,16.63,11.74,13.5,6.3,0.3289,1.5998,20.76,8.0,16.074,108.217,1.053,0.0564961558708536,0.0536579984059857,0.0433792971175604,0.0055479080184728,0.0183512653026288,0.043425411355869754,0.04171587935098392,0.4755504972237749,0.04440730878720067,0.04064208563850557,0.011637355497932312,0.005038734090810331,531.7116309432984,212.58231519076605,3130.855597742824,467.8093050999719,579.6376122245309,55.70256561608256,-111.82830712455905,0.2591490176515893
28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,48.54,0.5897,73659,5613257.0,37.84,0.7093,0.5871,0.0851,0.000624,0.001458,465.4,9.19,4875.0,26.84,75.69,1007.1,0.1535,0.5898,0.7515,1.7751,16.19,47.97,38.96,27.14,27.95,6.5,0.8767,1.8526,37.88,8.7,21.0491,105.883,9.624,0.8034804066846593,0.8171427356382007,0.1825964019082695,0.0258001774040692,0.0761199901907509,0.5295174331988168,0.05167147766336402,0.5625114549456689,0.539164714042774,0.5313147603803746,0.0202095050589349,0.0017848364023505035,1722.568315464231,138.52250288712395,2619.756063933522,1926.2645944196122,1772.9112679508778,38.441967803090385,-4.586335113551874,0.38466100259135466
28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,6.85,-0.4785,26614,1776400.7,19.93,0.724,0.7522,0.0753,0.000766,0.001987,400.7,10.31,5190.0,23.94,82.19,1010.4,0.1666,0.4901,0.8855,1.347,2.2,12.07,24.8,17.63,17.15,7.3,0.6061,1.7123,25.67,8.0,21.0065,107.344,1.852,0.0707845440097586,0.0867593032268906,0.0269354876579703,-0.0028143450572796,0.1105332653184427,0.054600721423531964,0.024367740418939455,0.5349756162493489,0.04389572223508585,0.054135807462602416,0.09768643113700663,-0.003292232472004622,1533.397705665687,122.81093395255415,3978.770864525771,1540.6644607753876,1529.7637663397993,82.48911750583379,10.900694435588337,0.3916118036039311
28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,10.64,0.0614,37740,2763206.9,37.03,0.5661,0.4214,0.0802,0.000493,0.001147,447.2,9.32,4741.0,24.77,75.82,1008.9,0.1043,0.5201,0.5833,1.5419,2.24,12.85,11.4,8.73,7.11,10.4,0.3848,1.5549,11.85,12.8,21.0358,106.764,4.084,0.6581894055746348,0.6751918049018558,0.1713273964798548,0.0388970939443664,0.0787777745932081,0.5173784085673625,0.05468412679744878,0.5430120165086942,0.5225979634643578,0.5198396621381473,0.02383800746375498,-0.0018182857848683747,1986.4079575390372,188.7236363260742,2959.1866290160992,2220.154455912816,2046.574476857145,60.23364504562767,5.157579366842736,0.3276624252076388
28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,6.62,0.1467,33315,2215103.8,20.76,0.0,0.0,0.9144,0.0,0.0,425.3,10.89,5289.0,24.5,73.99,1008.8,0.1284,0.0,0.0,0.0,2.47,12.65,9.54,7.11,7.11,9.5,0.1233,1.6548,9.59,6.6,20.9454,107.131,2.067,0.0257492290355405,0.0290722012695347,0.0240417314985649,-0.002656524525467,0.1565617176359739,0.024524877936961908,0.022264644789003266,0.0,0.021334808929830206,0.024166525971225237,0.12210649300510532,-0.002250119934909414,573.5496734489707,47.67010789178039,0.0,569.2832441311231,575.1495211725538,61.618334841176996,-5.866277041430821,0.0
28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,27.95,-0.3357,28705,2532009.3,36.53,0.7139,0.5586,0.0809,0.000535,0.001472,451.2,9.23,4782.0,25.65,79.7,1010.9,0.1495,0.5996,0.7885,1.8124,9.6,16.37,42.45,33.56,33.91,1.8,0.4031,1.3418,51.2,6.2,21.0272,106.034,1.052,0.8018192538420947,0.8235048758626556,0.1996938984180822,0.0177851694345636,0.0840148652793007,0.518571547095002,0.05522816794311195,0.5376008812292438,0.5239505876645635,0.5216539264090854,0.022613604561712738,-0.005743403835761356,1455.139983283972,119.10780996224861,2392.3421027638483,1699.9242539144552,1496.584737307295,33.98001378205548,-4.737509509320441,0.36931475077402975
28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,52.19,-0.0285,34963,2648682.3,36.53,0.7647,0.58,0.079,0.000542,0.001525,454.0,9.4,4796.0,25.91,78.66,1010.8,0.1341,0.6619,0.796,2.0075,22.36,39.18,34.88,23.96,21.5,1.8,0.4031,1.5198,38.47,5.8,21.0243,106.017,0.168,0.8636746968480961,0.882778053032315,0.2097816195848978,0.0235262290985369,0.0881305357718877,0.5178654801479344,0.05532926146964027,0.5368517808686109,0.5240484933828108,0.5206591824174258,0.022390237684345428,-0.005444359713739,1035.7060952630566,112.0659309883149,1855.4311713308678,1235.6170745152579,1068.7808266855498,31.612678120675007,-5.26191438529026,0.3710029801300252
29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,9.13,-0.0526,5479,769680.6,15.17,0.0,0.0,0.8894,0.0,0.0,586.2,15.25,9922.0,28.67,80.98,1009.5,0.0979,0.0,0.0,0.0,1.53,4.59,9.08,7.8,7.76,4.4,0.2519,2.8749,11.8,3.0,9.5991,106.52,0.876,0.0371524594141361,0.0435692087023333,0.0322400751867319,-0.0025463316120488,0.0211259014479541,0.029504025566569024,0.026927104754356633,0.0,0.02555389757390682,0.029643368305662145,0.009690316190576212,-0.0019466520102749422,491.90593416469017,55.86896498172947,0.0,484.08076072863224,495.81799669758647,0.020868321418726268,-11.737235968954206,0.0
29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,5.72,-1.5549,3218,240166.7,17.54,0.4937,0.379,0.1482,0.000332,0.000754,570.5,14.99,9568.0,28.73,79.92,1006.8,0.1251,0.4507,0.5334,1.3144,1.16,6.72,11.94,6.91,4.47,4.4,0.2519,1.1456,8.36,4.0,9.5756,106.488,3.613,0.0227299841769414,0.0165585074644048,0.0378303055403317,0.0062450236191149,0.029865699364072,0.019347031737821565,0.03173768820351503,0.43102603894345853,0.022671601178620552,0.016685756988869635,0.014154959730500204,0.006039863936024439,17.421835502852243,0.6400765929180356,121.69745976417347,17.487753708591796,17.374231867986904,0.030654537038312363,0.11352184060489103,0.18642854727514466
