config,station_id,station_name,region,n_rows,r2,rmse,mae,stage1_baseline,stage1_error
S1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.2821,23.79,19.61,34.77,7.67
S1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,0.0035,18.62,9.46,17.6,4.4
S1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.4616,24.52,17.17,34.86,-13.67
S1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-3.9428,16.66,13.23,17.26,10.41
S1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,-0.0815,9.52,6.85,27.3,16.66
S1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,-1.1086,11.1,8.85,20.23,13.61
S1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-1.2625,37.06,26.19,24.69,-3.26
S1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.2032,49.84,32.59,22.57,-29.62
S1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.3662,7.5,4.91,7.6,-1.53
S1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-0.271,5.6,3.81,8.51,2.79
S1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,0.1196,20.1,15.38,33.45,10.01
S1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,0.001,19.58,13.44,17.45,-7.95
S1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.9852,28.9,17.69,17.39,1.91
