stationId,tier,region,n,obs_mean,pred_mean,r,r2,bias,rmse,bias_pct
28505268571336961948594948504,t1,North,8719,27.23450074167527,28.754986219474834,0.4106845256805028,-0.1324344986171655,1.5204854777995642,22.208494093505614,5.582938685829697
28505272740301122608933325208,t1,Central,7272,13.203662215804913,14.375565228497424,0.15748850183325283,-0.177649518432897,1.1719030126925105,18.240997159359416,8.875590677332923
28560877461938780203765592307,t1,North,8955,48.469327290154474,28.14716135856396,0.30120489052401667,-0.37460412965646417,-20.322165931590515,38.49206207235255,-41.927889384424226
28599103930259709512833128161,t3,North,2540,7.435146220472442,23.986713110211653,0.09108411969287002,-5.750276927424511,16.551566889739213,24.700626521564597,222.61252702959618
28602837126985114455002404577,t3,North,5593,10.642472572858932,27.759699765097402,0.12238821281166529,-8.608252596614639,17.11722719223847,27.48073862551231,160.83881894036395
28602897318711027016899843809,t3,North,3808,9.691057825630253,25.132138956631298,0.2317170465977508,-10.816715989085441,15.441081131001045,24.533140197683085,159.33328857210532
28916504310234840885489983032,t1,North,6598,27.964745933111043,27.047627827508418,0.15692908399270317,-0.3683274818642279,-0.9171181056026256,27.82862488296752,-3.2795510025239745
28916774462801800655608897080,t3,North,4562,52.138386453309955,29.154324683602685,0.051848938094276806,-0.45039064467892187,-22.98406176970727,52.11668110286762,-44.08280219850983
29098314940209976158571475636,t2,South,8399,9.362092135968568,12.42501347349657,0.17364706409364342,-0.9070745910387854,3.0629213375280013,8.899682305848025,32.71620587625335
29098319146067624969113973428,t3,South,5480,5.764251204379562,11.890010093546852,0.39668482144836653,-2.560375396177063,6.12575888916729,8.689272199689695,106.27154632874192
29196010501691076420299004774,t1,North,4150,23.50382524497992,25.79061892153456,0.13986594586989604,-0.35351086325331016,2.2867936765546375,24.301068892178392,9.72945319631775
29196021237696127337075448678,t1,North,5851,25.49471302626332,23.999456413387136,0.22058786429592975,-0.5267162004688826,-1.495256612876183,23.088357307989007,-5.8649674202484565
29203727697074312726675247132,t3,North,6413,16.979340677789907,23.959008718049212,0.024086438652160713,-0.8009876983786806,6.979668040259305,26.50168291631084,41.10682607004387
29518839738601389925132404147,t3,North,5362,6.880946214099217,25.414940565296863,0.09316809224976291,-13.387903530282143,18.533994351197645,26.332629854364033,269.35240844087787
29518852005686198968139908531,t3,North,4746,7.617500653181627,26.105843711074456,-0.0028487578684060133,-9.015865752207503,18.48834305789283,27.003077571028474,242.7087820487517
29518872592252585279589451187,t3,North,4911,9.488025697413969,25.893462317976244,0.18518584498147542,-3.7947042365913175,16.405436620562277,26.207990763803,172.90674734400963
29518885338952740244749551027,t3,North,5090,9.196312730844795,27.051190571906833,0.1306165180972233,-11.140371468955838,17.854877841062038,28.032687058144376,194.15257357632126
29544533341424688633522251105,t2,Central,5539,11.926834124691581,11.058152915670815,0.26376790812461276,-0.21485288906819466,-0.8686812090207656,14.047402818570909,-7.283418214246599
29996239538320865599553202177,t2,South,6170,12.273450923824958,14.823389256152897,0.13159383756046897,-3.389826112592494,2.5499383323279385,16.420492211385955,20.776050258025258
30991938797551443885460120607,t3,South,3839,7.57104884084397,13.24819628404061,0.026175868278477062,-0.9383497467045929,5.67714744319664,13.304746505126353,74.98495337356441
31388836637198369136462150188,t1,Central,6421,18.37224838031459,12.353898852915519,-0.013844088846997659,-0.9090318977261604,-6.018349527399073,16.067468958461244,-32.757828017650716
31388839920718814259329251882,t1,South,6359,24.47848652565917,13.867923197343599,0.09757207007152066,-0.5288180928370299,-10.610563328315573,20.236531891120855,-43.34648433918994
31388851800421997746903202346,t1,Central,6511,23.03199841550197,15.547881498708907,0.11893022046315255,-0.8199212069660853,-7.484116916793063,17.841752035847303,-32.49443136361014
31388868531618872623864101418,t1,North,6469,37.740196300304014,26.65116616000206,0.35112960916280195,-0.1016894733982987,-11.089030140301954,31.031318381735435,-29.382544945089826
31388883344354363840031242796,t1,North,6429,39.23718222377767,27.82561822569999,0.36688442606215305,-0.05727750147101229,-11.411563998077682,31.011278440743773,-29.08354614507025
31390903576425084107499649578,t1,North,6487,46.636809588407594,28.0120018144266,0.3207177584120969,-0.18262493971728722,-18.624807773980994,40.14407797986832,-39.93585311335388
31390908889087377344742439468,t1,North,6338,36.725688992321444,27.93650257398099,0.3266962283376092,-0.25971635594912357,-8.789186418340453,25.91371067132004,-23.93198510224841
31390912357075263208060500522,t1,South,6487,21.430929844303993,13.809713147118785,0.11717552182930184,-0.6235929120125809,-7.621216697185208,15.279745550139031,-35.561764013757006
31390916083317566102523755051,t1,South,6262,22.68576646971149,13.879047329665768,0.08896558434420784,-0.6433810299886673,-8.80671914004572,16.968398256040143,-38.82046106665102
31390921469766835629621918251,t1,North,6251,42.89576771449901,28.5820530366464,0.3306154541194727,-0.07489902311953034,-14.313714677852609,37.21309637651937,-33.36859424715342
31390928700890512538630765099,t1,Central,6378,17.174702215950663,10.283866746336566,0.35639234499791783,0.00300299510424773,-6.890835469614098,19.56935148875165,-40.122008422448054
31390932574706768021562473002,t3,South,6521,21.146774983387004,12.880651118713574,0.15465634592141067,-0.528440142895229,-8.26612386467343,15.652813417606646,-39.089288419474514
31390939012620449761949792810,t3,Central,4847,15.366937858469155,9.02543449226267,0.25514669779009347,-0.6912287751457014,-6.341503366206485,10.807758874937502,-41.26718949872959
31390944251495766704153049642,t1,Central,6417,19.66863618513324,15.705829411872072,0.20743639919877785,-0.7714664189146785,-3.9628067732611694,15.001117412105819,-20.147847242487007
31390951371938979254287350314,t1,Central,6540,27.958173053007137,14.312512178059785,0.05681456954374024,-0.5785855998738523,-13.645660874947351,27.291093463161168,-48.80741259121595
