config,stationId,station_name,region,tier_qc,n,r2,rmse,mae,bias,pm25_mean,pred_mean
Oracle true-tier,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,0,16267,0.10378103777507086,4.706819039980142,2.521634463164837,-1.1319367859499248,5.781248521546689,4.649311735596765
Global XGBoost,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,2,12508,0.16783086628661248,19.543534248399993,12.509448787005196,-4.450733203193987,23.44901989926447,18.998286696070483
Geographic region,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,2,12508,0.21297730498614853,19.006009003297496,12.375412884346487,-0.1096340511306769,23.44901989926447,23.339385848133794
Oracle true-tier,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,2,12508,0.36412120881951104,17.083799767572533,10.753972471151055,-2.5059833387508457,23.44901989926447,20.943036560513626
Global XGBoost,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,2,17547,0.012534505549594344,19.47006521820949,12.649219325140193,-9.414895115909303,25.404040137915313,15.98914502200601
Geographic region,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,2,17547,0.22365595941749483,17.26368701032728,12.878254970261354,2.7183983741779816,25.404040137915313,28.122438512093296
Oracle true-tier,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,2,17547,0.25508910389883777,16.910583972680918,10.766851230712602,-5.163435634722649,25.404040137915313,20.240604503192664
Global XGBoost,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,1,19004,-0.20019277900761168,22.97345685845489,12.535097537615101,-9.188010032611997,17.12269792149021,7.934687888878217
Geographic region,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,1,19004,-0.1450983637639225,22.439968425796987,13.348321386734005,-0.6491855642188256,17.12269792149021,16.47351235727139
Oracle true-tier,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,1,19004,-0.10907724706333233,22.0842035985565,11.873447075845338,-6.347761712441057,17.12269792149021,10.774936209049157
Global XGBoost,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,0,16150,0.1615278882408292,6.813256018207228,4.2986978023933675,-1.3830770773467307,7.224428681114551,5.84135160376782
Geographic region,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,0,16150,0.1327646263959742,6.929132872091121,4.5119178022293465,-1.1031883095492192,7.224428681114551,6.121240371565332
Oracle true-tier,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,0,16150,0.08556292231321194,7.115203257672434,4.367147027296237,-2.1216076044305976,7.224428681114551,5.102821076683954
Global XGBoost,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,0,13850,-0.1713873076100796,9.838847968252104,5.735217337633374,3.02964321203459,7.661958267148015,10.691601479182605
Geographic region,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,0,13850,-0.055625081429316214,9.340042298524713,4.326933568551625,-0.17497963346019982,7.661958267148015,7.486978633687815
Oracle true-tier,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,0,13850,-0.08005435242084147,9.447497779577487,4.288647266268926,-1.2678956490748712,7.661958267148015,6.394062618073144
Global XGBoost,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,1,14889,0.12574503991525288,12.2986369794104,6.79853928117654,-2.6566605687545137,10.231306353683928,7.574645784929413
Geographic region,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,1,14889,0.11316784483343645,12.386786322169993,6.747419354106005,-3.2959915135891604,10.231306353683928,6.935314840094767
Oracle true-tier,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,1,14889,0.1653120040075936,12.017109375170781,7.860468330057607,0.13645584490933196,10.231306353683928,10.36776219859326
Global XGBoost,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,0,14837,-0.1929823166893192,9.086066722745693,6.663541315411792,2.2842113021123236,9.366951661387072,11.651162963499395
Geographic region,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,0,14837,-0.12622827818385307,8.828199370364619,6.324703917149796,1.4432443946780789,9.366951661387072,10.810196056065152
Oracle true-tier,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,0,14837,-0.15797338453296628,8.951755407748962,5.788419610187546,-3.0144233260197986,9.366951661387072,6.352528335367275
Global XGBoost,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,1,16127,0.13967741425193891,12.82102165519557,8.190868622148411,1.368688119564907,12.060071203571649,13.428759323136557
Geographic region,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,1,16127,0.013650900097353591,13.728000863097643,7.528977959656776,-4.657841719744929,12.060071203571649,7.40222948382672
Oracle true-tier,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,1,16127,0.13920485215115486,12.824542367812244,7.658486105393751,-0.5443617067676354,12.060071203571649,11.515709496804014
Global XGBoost,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,1,18743,-0.32810868837751617,9.993740537490217,8.094446308139364,6.013548032825403,12.208240319052447,18.221788351877848
Geographic region,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,1,18743,-0.35932285721871526,10.110498540118266,7.988534516565586,5.34325632251336,12.208240319052447,17.551496641565805
Oracle true-tier,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,1,18743,0.12497535646546443,8.11187786450402,5.572854080347955,0.26239186917599955,12.208240319052447,12.470632188228446
Global XGBoost,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,0,10228,-4.142571875935826,24.239955561661674,21.61795498151111,20.22530051293595,8.244858281188893,28.470158794124842
Geographic region,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,0,10228,0.0005044430704657099,10.686415795856467,5.584363452828914,-1.9991762380930052,8.244858281188893,6.245682043095888
Oracle true-tier,30991938797551443885460120607,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South,0,10228,-0.13231749771085854,11.374327884562764,6.661362505534294,-0.7222634055018656,8.244858281188893,7.522594875687028
Global XGBoost,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,1,19586,-0.7563456237804513,16.02252222979597,11.721822730087316,-10.64576860197358,18.478348774634945,7.832580172661363
Geographic region,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,1,19586,-0.5464974823706106,15.034898481006175,10.68416162243129,-8.17178241603633,18.478348774634945,10.306566358598616
Oracle true-tier,31388836637198369136462150188,Bình Định Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Central,1,19586,-0.3335095605327709,13.961238884496408,10.036356440063464,-8.05599436538994,18.478348774634945,10.422354409245004
Global XGBoost,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,2,19488,-0.2011734561181111,18.388757733378633,12.402275851186273,-10.520189635882748,24.216021315681445,13.6958316797987
Geographic region,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,2,19488,-0.3010731862212983,19.13816925951084,13.030885317796791,-11.495406081645086,24.216021315681445,12.720615234036359
Oracle true-tier,31388839920718814259329251882,"Bình Dương số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",South,2,19488,0.1876634929527169,15.122288302092242,10.41283109724964,-3.0065756581333867,24.216021315681445,21.20944565754806
Global XGBoost,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,2,19930,-0.8460940732034108,19.697021886099588,15.144102787458568,-14.416271030666985,23.598139769192176,9.181868738525187
Geographic region,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,2,19930,-0.925632063679422,20.11686529518797,15.584178725507579,-15.182458499129698,23.598139769192176,8.415681270062475
Oracle true-tier,31388851800421997746903202346,Đà Nẵng Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Central,2,19930,0.0961434579019822,13.782354183162623,9.765783828587969,-5.745948685367353,23.598139769192176,17.85219108382482
Global XGBoost,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,3,19832,0.24208328104605648,25.91312272584001,15.673154531226059,-11.71587987318889,37.627695219846714,25.91181534665782
Geographic region,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,3,19832,0.27989217806059996,25.25851258573002,15.390388348275492,-12.00512598453974,37.627695219846714,25.622569235306973
Oracle true-tier,31388868531618872623864101418,Hải Dương UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),North,3,19832,0.622438516119223,18.28954285048625,11.82983257402233,-1.0031768728870978,37.627695219846714,36.62451834695961
Global XGBoost,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,3,19734,-0.5141961333691478,37.18824952728425,26.382446612681125,-25.993481080224825,39.19758587716631,13.204104796941488
Geographic region,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,3,19734,0.1367870939387822,28.078482482149578,17.694960605274467,-14.195633499631635,39.19758587716631,25.00195237753468
Oracle true-tier,31388883344354363840031242796,Hà Nam Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),North,3,19734,0.5457405470922545,20.368856881287403,13.229832547596164,-2.0166525721193436,39.19758587716631,37.18093330504697
Global XGBoost,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,3,19835,0.460578625260323,27.273664329423635,18.040293121157188,-8.920081015984257,46.78008547517016,37.860004459185895
Geographic region,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,3,19835,0.5234537567361774,25.63491846688009,16.839038183163105,-6.979116421767576,46.78008547517016,39.800969053402575
Oracle true-tier,31390903576425084107499649578,Hà Nội ĐHBK cổng Parabol đường Giải Phóng (KK),North,3,19835,0.5230958745746301,25.644542462826593,16.41344269456614,-9.363037978502394,46.78008547517016,37.41704749666776
Global XGBoost,31390908889087377344742439468,Hà Nội Công viên Nhân Chính - Khuất Duy Tiến (KK),North,3,19421,0.22115262054455453,20.69999586603194,14.333637460952396,-10.885169338649213,36.97820354255703,26.093034203907813
