sid,tier,pm,n,wk_exog,wt_exog,is_thesis,group
28505268571336961948594948504,t2,27.09912530042592,26296,0.7956701649000968,0.28556905740990735,True,thesis
28505272740301122608933325208,t1,13.191629068873512,22113,0.277022985942205,-0.3661314013344592,True,thesis
28560877461938780203765592307,t3,48.53746936926985,27159,0.7611966207725525,0.16640663543574474,True,thesis
28599103930259709512833128161,t0,7.6970657336513115,7967,0.5234104929129998,-1.722848062256778,True,thesis
28602837126985114455002404577,t1,10.652525713074546,16513,0.7725720172886607,0.14894307850749755,True,thesis
28602897318711027016899843809,t1,10.07309263814308,11546,0.8073549973765541,0.20576374378175522,True,thesis
28916504310234840885489983032,t2,27.9495616888036,19801,0.7570719260270538,-7.7638590030870045,True,thesis
28916774462801800655608897080,t3,52.19140205011389,13609,0.7360785736400538,-1.1702145035454632,True,thesis
29098314940209976158571475636,t0,9.342666208935878,24687,0.7843344305323892,-1.2771351327131617,True,thesis
29098319146067624969113973428,t0,5.781248521546689,16267,0.5134436113479453,0.13504736218010205,True,thesis
29196010501691076420299004774,t2,23.44901989926447,12508,0.8084048592765479,-20.357062933919664,True,thesis
29196021237696127337075448678,t2,25.404040137915313,17547,0.7434413578026777,-3.2237975791084628,True,thesis
29203727697074312726675247132,t1,17.12269792149021,19004,0.6565271570172007,-0.2737237577414271,True,thesis
29518839738601389925132404147,t0,7.224428681114551,16150,0.8313550529425249,-0.4218875628623078,True,thesis
29518852005686198968139908531,t0,7.661958267148015,13850,0.5755236024754409,-1.615421888998795,True,thesis
29518872592252585279589451187,t1,10.231306353683928,14889,0.8321254298517409,-0.6802703484241539,True,thesis
29518885338952740244749551027,t0,9.366951661387072,14837,0.7866188727029603,-0.7362998102837821,True,thesis
29544533341424688633522251105,t1,12.060071203571649,16127,0.6136481915222095,-0.021403600363950614,True,thesis
29996239538320865599553202177,t1,12.208240319052447,18743,0.5130205282634487,0.2457193025064035,True,thesis
30991938797551443885460120607,t0,8.244858281188893,10228,0.5899781436930003,-0.26858382561555016,True,thesis
31388836637198369136462150188,t1,18.478348774634945,19586,0.7479723342071123,0.3438302650621734,True,thesis
31388839920718814259329251882,t2,24.216021315681445,19488,0.692275052041636,-3.8763828855047446,True,thesis
31388851800421997746903202346,t2,23.598139769192176,19930,0.7218167927447794,0.232320410853756,True,thesis
31388868531618872623864101418,t3,37.627695219846714,19832,0.8437531728033393,0.3361084290136479,True,thesis
31388883344354363840031242796,t3,39.19758587716631,19734,0.8484787527943947,0.3366586681243052,True,thesis
31390903576425084107499649578,t3,46.78008547517016,19835,0.8379231752542426,0.3699596462527871,True,thesis
31390908889087377344742439468,t3,36.97820354255703,19421,0.8037756782337525,0.21720158230140318,True,thesis
31390912357075263208060500522,t2,21.3460899707838,19852,0.629273698084303,-0.1562189518988779,True,thesis
31390916083317566102523755051,t2,22.598651419014267,19133,0.6435632072239756,0.06035721773689806,True,thesis
31390921469766835629621918251,t3,43.191704195363016,19021,0.836454685084224,0.4622788059555428,True,thesis
31390928700890512538630765099,t1,18.083109359190555,18976,0.7952656513391281,0.42058194260410364,True,thesis
31390932574706768021562473002,t2,21.171073797487363,19979,0.6280712491855114,0.18984953556611406,True,thesis
31390939012620449761949792810,t1,15.490996789087093,14295,0.5731342038840035,-0.04081190805961077,True,thesis
31390944251495766704153049642,t2,20.06555416535185,19014,0.5064572171504522,-0.015857736216579044,True,thesis
31390951371938979254287350314,t2,27.41243691153785,18799,0.6044035072465308,-0.13445256188145405,True,thesis
31390957404024291365397346858,t3,37.191192807590284,19604,0.7707753063128886,0.4110823023887321,True,thesis
31390965631272148257054013994,t1,14.669084928585598,20164,0.676383133951612,0.07815129955388733,True,thesis
31570631866920915749872483233,t1,12.042943945493962,9687,0.6012733341947103,-0.9412253478190533,True,thesis
31616865099255512061948816121,t0,7.246145820921674,11414,0.7838772107125561,-0.5677515144427738,True,thesis
31651502905690497791503780869,t3,55.214377840262436,14937,0.7766720351682063,0.2274130553940623,True,thesis
