variant,station_id,station_name,n_rows,actual_mean,pred_mean,bias,abs_mean_error,hourly_r2,hourly_rmse,daily_r2,actual_class,pred_class,class_flip,high_to_nonhigh,nonhigh_to_high,nearest_train_km
7_blend_s45_b50,32496635793299427531930529746,"Hà Nội Cổng Trường tiểu học Thịnh Hào, phường Ô Chợ Dừa(LCS)",4021,28.689258492912213,39.91916763358335,11.229909140671136,11.229909140671136,0.4016693260668861,20.36268790309511,0.36430064613378044,moderate,high,True,False,True,2.0267759103862018
7_blend_s45_b50,32496640019282169742177968358,Hà Nội UBND phường Quan Hoa (cũ)(LCS),4019,48.134898108982334,38.278382579117064,-9.85651552986527,9.85651552986527,0.5679172033383537,23.681494741631916,0.6349049427070248,high,high,False,False,False,3.54087983963299
7_blend_s45_b50,32496646519546184688745583087,Hà Nội Viện hàn lâm Khoa học và Công nghệ - 18 Hoàng Quốc Việt - Phường Nghĩa Đô(LCS),3979,21.675465644634333,38.32370093518794,16.648235290553604,16.648235290553604,-0.3748584085729487,22.374540333472083,-0.7243926465811765,moderate,high,True,False,True,4.869249675613683
7_blend_s45_b50,32496649796320141677664228873,Hà Nội UBND xã Chuyên Mỹ(LCS),4036,31.026848637264617,36.52556022350171,5.498711586237089,5.498711586237089,0.49775732820706065,19.34951314824173,0.5031993445899705,moderate,high,True,False,True,17.06648524680589
7_blend_s45_b50,32496653072616049897983672014,"Hà Nội TT văn hoá thể thao Ninh Hiệp, xã Ninh Hiệp(LCS)",3996,46.02514604604604,35.11207090289086,-10.913075143155176,10.913075143155176,0.3102615152644935,27.490129563308336,0.3108200149894226,high,high,False,False,False,7.226482946751936
7_blend_s45_b50,32496654659036040237005110994,"Hà Nội Trường mầm non B, Ngọc Hồi(LCS)",4019,59.727731002736995,32.962959546988785,-26.76477145574821,26.76477145574821,0.0665703205233249,42.42979755893823,-0.05246463855812511,high,moderate,True,True,False,9.045013218520046
7_blend_s45_b50,32496656699585544717774158962,Hà Nội UBND phường Định Công(LCS),4050,43.56383676543209,38.859935981013194,-4.703900784418899,4.703900784418899,0.6590207890219577,18.704399728064192,0.7569351847543038,high,high,False,False,False,3.6961549695470084
7_blend_s45_b50,32496658274959142730665276769,Hà Nội UBND xã Song Phương(LCS),4016,40.62574337649402,37.87128912583734,-2.7544542506566785,2.7544542506566785,0.45300978097961697,27.248675260585443,0.5403776978389283,high,high,False,False,False,10.296146606956322
7_blend_s45_b50,32496659849795661849369859648,"Hà Nội Nhà bảo vệ Trường THCS Tây Đằng, xã Quảng Oai(LCS)",4008,20.47135271956088,32.79279826219056,12.321445542629679,12.321445542629679,-0.13237692805894508,14.857971661438716,-0.36743665681047966,moderate,moderate,False,False,False,17.069854441072746
7_blend_s45_b50,32496674426906599552653261962,Hải Phòng Cổng bảo vệ trường mầm non Tam Hưng- phường Nam Triệu (LCS),3984,25.41577645582329,12.405675628188064,-13.010100827635227,13.010100827635227,-0.31237277235520544,23.363359842407807,-0.572882812958978,moderate,low,True,False,False,10.762190376089379
7_blend_s45_b50,32496693563219291690449469264,Hải Phòng Trụ sở ủy ban xã Phạm Sư Mạnh cũ (LCS),4006,32.58442121817274,19.333142544261605,-13.251278673911138,13.251278673911138,0.015924238121629908,25.1085890789417,-0.0710502207785535,moderate,low,True,False,False,6.814614767319962
7_blend_s45_b50,32496700750804852782040219324,Hải Phòng ủy ban phường Phạm Sư Mạnh (LCS),4000,17.534103525,16.10393719639449,-1.4301663286055089,1.4301663286055089,0.0618404761325092,15.4868248170444,0.04283479735912643,low,low,False,False,False,7.48505093763792
7_blend_s45_b50,32497674830731204969056502556,Hà Nội UBND xã Thanh Thuỳ (LCS),3994,31.186279394091134,32.3110072764462,1.1247278823550637,1.1247278823550637,0.3960961967788377,24.535720201325386,0.41860303687151335,moderate,moderate,False,False,False,14.766464056076616
7_blend_s45_b50,32497682732178779599258375030,Hà Nội UBND phường Hoàng Liệt(LCS),4018,28.976169313091088,37.053806332781676,8.077637019690588,8.077637019690588,0.4140002361402809,19.825615049699778,0.38155131944277787,moderate,high,True,False,True,4.356440452971599
7_blend_s45_b50,32497684349251147003185136481,Hà Nội Tường rào -Trước cổng bảo vệ UBND phường Long Biên (LCS),4000,54.664326975,37.19723935223058,-17.46708762276942,17.46708762276942,0.33709051665084766,33.35019362996266,0.3403505581220665,high,high,False,False,False,3.73204033701836
7_blend_s45_b50,32497686304154672399743049842,Hà Nội UBND xã Chương Dương (LCS),3970,50.88200617128464,33.91138374114484,-16.970622430139798,16.970622430139798,0.26864211685161843,35.205636455483976,0.26683660498772277,high,moderate,True,True,False,17.60637733483303
7_blend_s45_b50,32497687835845808597395559285,Hà Nội UBND xã Quang Minh (LCS),3999,41.100162440610156,31.00007484344308,-10.100087597167075,10.100087597167075,0.2171611506627037,34.37397133196482,0.228419368651832,high,moderate,True,True,False,20.628666313168235
7_blend_s45_b50,32497689422265798936416998264,"Hà Nội Cổng 3, Bộ Tài nguyên và Môi trường, 10 Tôn Thất Thuyết (LCS)",4016,37.02350438247012,36.11489900626914,-0.9086053762009811,0.9086053762009811,0.638580016425605,18.246377767439384,0.7290058215336597,high,high,False,False,False,3.0360293192985486
7_blend_s45_b50,32497691894129504813496914814,Hà Nội Nhà bảo vệ UBND xã Phúc Thịnh (LCS),4018,37.207375261324046,34.70259135226433,-2.504783909059718,2.504783909059718,0.35430045352348016,28.155835550088426,0.4042067085066454,high,moderate,True,True,False,14.989206389244599
7_blend_s45_b50,32497693512462826621189636013,"Hà Nội Nhà bảo vệ Cung thể thao tổng hợp Quần Ngựa (phố Văn Cao), Phường Liễu Giai, quận Ba Đình (LCS)",4011,51.807455173273496,38.60435061453861,-13.203104558734886,13.203104558734886,0.5023628968825691,28.0234812390011,0.5519998242270627,high,high,False,False,False,4.714993448273467
7_blend_s45_b50,32497698154816065885508975523,"Hà Nội Cục Viễn Thám quốc gia, Bộ Tài nguyên và Môi trường số 79 Văn Tiến Dũng (LCS)",3974,60.86778643683946,27.500562046493457,-33.367224390346,33.367224390346,-0.40934424619792487,57.44688288176406,-0.611362011832145,high,moderate,True,True,False,7.997340544817883
7_blend_s45_b50,32497713513553527537986241519,"Hải Phòng Cổng bảo vệ trường tiểu học Tử Lạc, phường Nhị Chiểu (LCS)",3973,20.50154731940599,15.6348309272598,-4.86671639214619,4.86671639214619,0.09446609495049285,16.114366985173586,0.06925309932978241,moderate,low,True,False,False,5.864712037013879
7_blend_s45_b50,32497715505350541081963258104,"Hải Phòng Cổng bảo vệ, ủy ban xã Nguyễn Lương Bằng (LCS)",3967,40.66305023947567,29.073382674102714,-11.58966756537296,11.58966756537296,0.2681302627552371,30.935258234594738,0.2584337520253924,high,moderate,True,True,False,16.596386549827297
7_blend_s45_b50,32497722117136617634216524795,Hải Phòng Cổng bảo vệ trường tiểu học phả lại phường Chí Linh (LCS),3977,40.94871702288157,26.812692256807743,-14.136024766073824,14.136024766073824,0.2438335017795661,25.090624255902252,0.22926297247598282,high,moderate,True,True,False,6.307795531049754
7_blend_s45_b50,32497740397859994680382176275,Hải Phòng Ban chỉ huy quân sự xã An Quang (LCS),3983,27.528455862415264,17.24280201763977,-10.285653844775492,10.285653844775492,-0.02759294795251166,24.26387742388013,-0.11641973854867049,moderate,low,True,False,False,24.86885279705652
7_blend_s45_b50,32497743881131035780167864566,Hải Phòng Vọng gác công an phường Bạch Đằng (LCS),3803,26.85155500920326,12.216727592369503,-14.634827416833756,14.634827416833756,-0.39368765311446485,22.769716514516585,-0.7729047347769566,moderate,low,True,False,False,7.778816673767894
7_blend_s45_b50,32497745839288232378111853921,Hải Phòng cột điện Phường Bạch Đằng (anh Vân - 098 9325417) (LCS),3912,9.34172827198364,12.535340378949808,3.1936121069661674,3.1936121069661674,0.12501702619085853,8.09834598433703,0.1536484335528957,low,low,False,False,False,8.374467019063857
7_blend_s45_b50,32497816774243732691318562431,"Lạng Sơn Tường phía sau lưng nhà văn hóa khu Trung Thịnh, xã Chi Lăng (LCS)",3950,42.273726025316456,18.601749293962538,-23.67197673135392,23.67197673135392,-0.6310287715336582,35.94000044350871,-1.043806327072708,high,low,True,True,False,54.827489244372934
7_blend_s45_b50,32497825983352144945122444532,"Ninh Bình Cổng bảo vệ trạm bơm Hoành Uyển, phường Hà Nam (LCS)",4022,35.38169569865739,36.2391181469342,0.8574224482768145,0.8574224482768145,0.5319533144812434,22.23055751277006,0.563335181670267,high,high,False,False,False,15.534948383770724
7_blend_s45_b50,32497832479169427549528529636,Ninh Bình Đảng ủy - HĐND phường Hà Nam (LCS),4036,41.73320106541129,35.891447820540535,-5.841753244870759,5.841753244870759,0.6238635659625343,17.97713726122139,0.7126293116642086,high,high,False,False,False,2.701709016358798
7_blend_s45_b50,32497834813217474579076019998,Ninh Bình Trung tâm Hành chính công Phường Đồng Văn (LCS),4024,40.28636796719682,35.34294720704864,-4.943420760148179,4.943420760148179,0.4720790175454924,22.668216081149797,0.5190861543625522,high,high,False,False,False,11.821235068217986
7_blend_s45_b50,32497839438874550478493036568,"Thái Nguyên Trạm quan trắc nước tại đập Ba Đa, phường Cam Giá (LCS)",3940,54.658894974619294,39.13271844463495,-15.52617652998434,15.52617652998434,0.3450392921158957,34.76356590941152,0.35666640562478535,high,high,False,False,False,4.150547980997943
