stationId,start,end,hours,threshold,raw_min,raw_max,station,region
28599103930259709512833128161,2025-10-30 07:00:00,2025-11-03 18:00:00,108,2.0,0.16,1.9733,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North
28602897318711027016899843809,2024-12-12 21:00:00,2024-12-17 06:00:00,106,2.0,0.0358,0.0364,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
28602897318711027016899843809,2023-11-23 00:00:00,2023-11-26 20:00:00,93,2.0,0.0583,0.0613,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29518872592252585279589451187,2024-02-28 11:00:00,2024-03-03 06:00:00,92,2.0,0.8432,1.9176,Quảng Ninh Km11 - Minh Thành (KK),North
28602897318711027016899843809,2023-08-04 13:00:00,2023-08-08 08:00:00,92,2.0,0.0587,0.0615,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
28599103930259709512833128161,2025-11-18 03:00:00,2025-11-21 21:00:00,91,2.0,0.1075,1.955,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North
29518839738601389925132404147,2023-05-11 11:00:00,2023-05-15 05:00:00,91,2.0,0.0838,1.899,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
29518872592252585279589451187,2024-01-10 07:00:00,2024-01-13 23:00:00,89,2.0,1.1847,1.9518,Quảng Ninh Km11 - Minh Thành (KK),North
30991938797551443885460120607,2023-07-02 09:00:00,2023-07-06 00:00:00,88,2.0,0.0008,0.2833,"Sóc Trăng Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",South
29518885338952740244749551027,2023-11-30 20:00:00,2023-12-04 07:00:00,84,2.0,0.4304,1.2095,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North
29203727697074312726675247132,2023-12-03 00:00:00,2023-12-06 11:00:00,84,2.0,0.27,1.7058,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North
28602897318711027016899843809,2024-10-29 09:00:00,2024-11-01 15:00:00,79,2.0,1.2161,1.473,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29518839738601389925132404147,2024-04-21 00:00:00,2024-04-24 05:00:00,78,2.0,0.0082,1.8447,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North
28602897318711027016899843809,2024-12-21 01:00:00,2024-12-24 03:00:00,75,2.0,0.0357,0.0363,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29203727697074312726675247132,2023-03-29 04:00:00,2023-04-01 05:00:00,74,2.0,0.2017,1.0883,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North
29518885338952740244749551027,2023-12-16 10:00:00,2023-12-19 10:00:00,73,2.0,0.3877,1.7777,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North
28602897318711027016899843809,2024-11-01 20:00:00,2024-11-04 17:00:00,70,2.0,1.2286,1.8647,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North
29518872592252585279589451187,2024-03-08 21:00:00,2024-03-11 17:00:00,69,2.0,0.6634,1.6079,Quảng Ninh Km11 - Minh Thành (KK),North
