timestamp,AOT_Merged,AOT_Pure,AOT_Merged_uncertainty,AOT_Pure_uncertainty,AE_Merged,AE_Pure,QA_flag_Merged,QA_flag_Pure,AOT_L2_Mean,AOT_L2_SDV,AOT_L2_Num,AE_L2_Mean,AE_L2_SDV,AE_L2_Num
2025-01-01 07:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 08:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 09:00:00,0.67939997,,,,,,2241.0,2296.0,0.4456,0.069,5.0,1.7623999,0.17140001,5.0
2025-01-01 10:00:00,0.6976,0.6132,0.6034,0.6031,,1.3994999,192.0,0.0,0.30719998,0.146,6.0,1.4197999,0.026799977,6.0
2025-01-01 11:00:00,0.908,1.0612,0.46969998,0.4691,-0.28750002,1.1782,0.0,0.0,1.0217999,0.0392,2.0,1.3231,0.14489996,2.0
2025-01-01 12:00:00,0.9992,1.1244,0.6358,0.6354,,0.5813,192.0,0.0,0.99079996,0.1064,5.0,1.2195,0.3416,5.0
2025-01-01 13:00:00,1.043,0.9824,0.2613,0.2604,,1.2458999,192.0,0.0,1.0364,0.081999995,6.0,1.074,0.17759997,6.0
2025-01-01 14:00:00,0.9094,,,,,,193.0,248.0,1.129,0.0788,6.0,1.43,0.11399996,6.0
2025-01-01 15:00:00,0.85899997,,,,,,193.0,249.0,1.4236,0.0656,5.0,1.4598,0.07080001,5.0
2025-01-01 16:00:00,0.81079996,,,,,,1477.0,1533.0,,,0.0,,,0.0
2025-01-01 17:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 18:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 19:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 20:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 21:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 22:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-01 23:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 00:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 01:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 02:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 03:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 04:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-02 05:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-02 06:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-02 07:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 08:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-02 09:00:00,,,,,,,2297.0,2296.0,0.46339998,0.0694,5.0,1.7704,0.16689998,5.0
2025-01-02 10:00:00,0.798,,,,,,193.0,248.0,0.54039997,0.347,6.0,1.4959999,0.018299997,6.0
2025-01-02 11:00:00,0.89,,,,,,193.0,248.0,1.423,0.0896,4.0,1.4240999,0.153,4.0
2025-01-02 12:00:00,,,,,,,505.0,504.0,1.5294,0.23719999,6.0,1.1746,0.21599996,6.0
2025-01-02 13:00:00,,,,,,,509.0,509.0,2.08,0.2102,3.0,0.68869996,0.07429999,3.0
2025-01-02 14:00:00,,,,,,,509.0,509.0,1.4355999,0.1222,2.0,1.1681,0.20679998,2.0
2025-01-02 15:00:00,,,,,,,509.0,509.0,,,0.0,,,0.0
2025-01-02 16:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-02 17:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-02 18:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-02 19:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-02 20:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-02 21:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-02 22:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-02 23:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-03 00:00:00,,,,,,,1533.0,1533.0,,,0.0,,,0.0
2025-01-03 01:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-03 02:00:00,,,,,,,1529.0,1529.0,,,0.0,,,0.0
2025-01-03 03:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-03 04:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
2025-01-03 05:00:00,,,,,,,1273.0,1273.0,,,0.0,,,0.0
